price,year,engine,distance
16 400 AZN,2009,1.5 L,209 666 km
15 600 AZN,2007,1.5 L,228 527 km
14 900 AZN,2007,1.5 L,165 000 km
19 800 AZN,2011,1.8 L,165 000 km
10 500 AZN,2009,1.5 L,193 121 km
23 200 AZN,2013,1.8 L,115 000 km
16 000 AZN,2007,1.5 L,188 000 km
39 000 AZN,2017,1.8 L,37 000 km
19 000 AZN,2010,1.8 L,236 000 km
18 500 AZN,2010,1.8 L,260 000 km
12 000 AZN,2008,1.5 L,300 000 km
22 000 AZN,2011,1.8 L,180 000 km
18 500 AZN,2010,1.8 L,272 411 km
13 700 AZN,2008,1.5 L,563 270 km
18 600 AZN,2010,1.8 L,426 476 km
14 800 AZN,2007,1.5 L,386 243 km
20 000 AZN,2011,1.8 L,174 775 km
27 900 AZN,2016,1.8 L,160 000 km
13 500 AZN,2006,1.5 L,378 196 km
15 900 AZN,2008,1.5 L,124 000 km
22 700 AZN,2009,1.8 L,108 800 km
19 500 AZN,2010,1.8 L,265 542 km
25 500 AZN,2013,1.8 L,148 060 km
13 000 AZN,2006,1.5 L,323 194 km
16 800 AZN,2008,1.5 L,220 000 km
18 900 AZN,2010,1.8 L,200 500 km
13 500 AZN,2007,1.5 L,240 000 km
19 900 AZN,2013,1.8 L,188 000 km
19 000 AZN,2012,1.8 L,180 000 km
17 000 AZN,2008,1.5 L,189 961 km
19 000 AZN,2010,1.8 L,113 000 km
14 900 AZN,2008,1.5 L,177 028 km
21 800 AZN,2012,1.8 L,133 826 km
22 900 AZN,2013,1.8 L,249 000 km
19 800 AZN,2011,1.8 L,165 000 km
18 300 AZN,2012,1.8 L,426 476 km
10 500 AZN,2008,1.5 L,230 000 km
19 000 AZN,2009,1.8 L,191 000 km
12 000 AZN,2007,1.5 L,220 000 km
15 600 AZN,2007,1.5 L,228 527 km
16 400 AZN,2009,1.5 L,209 666 km
16 000 AZN,2007,1.5 L,188 000 km
15 900 AZN,2008,1.5 L,159 388 km
13 300 AZN,2006,1.5 L,278 000 km
16 200 AZN,2008,1.5 L,294 510 km
20 400 AZN,2009,1.8 L,200 000 km
19 000 AZN,2009,1.8 L,191 000 km
16 900 AZN,2007,1.5 L,169 327 km
15 750 AZN,2006,1.5 L,273 300 km
17 800 AZN,2008,1.5 L,200 000 km
15 300 AZN,2008,1.5 L,192 000 km
15 700 AZN,2007,1.5 L,185 800 km
25 200 AZN,2014,1.8 L,135 700 km
15 400 AZN,2008,1.5 L,340 779 km
23 000 AZN,2013,1.8 L,210 000 km
14 300 AZN,2005,1.5 L,320 259 km
12 500 AZN,2008,1.5 L,300 000 km
15 450 AZN,2008,1.5 L,251 000 km
16 500 AZN,2008,1.5 L,191 000 km
21 500 AZN,2011,1.8 L,164 000 km
14 700 AZN,2007,1.5 L,176 500 km
12 000 AZN,2005,1.5 L,171 900 km
12 000 AZN,2007,1.5 L,220 000 km
14 400 AZN,2007,1.5 L,304 329 km
12 540 AZN,2008,1.5 L,240 000 km
16 150 AZN,2008,1.5 L,157 863 km
